epoch,total loss,weather loss,terrain loss
0,415.29273596405983,230.61459451913834,184.6781415939331
1,375.63790050148964,215.20678025484085,160.4311193600297
2,361.12552642822266,207.57799580693245,153.5475315079093
3,350.8546973466873,205.17083348333836,145.68386328220367
4,348.49029472470284,204.2439760863781,144.24631795287132
5,346.84158781170845,202.568515971303,144.2730715945363
6,344.8556945025921,202.11817701160908,142.7375176846981
7,347.9545448124409,201.99170988798141,145.9628347158432
8,340.29094952344894,198.02454118430614,142.2664079591632
9,330.8595546782017,194.7055672109127,136.15398798137903
10,323.0083028078079,192.7531967163086,130.25510639697313
11,322.7659505903721,192.39096541702747,130.37498526275158
12,317.29383170604706,189.9647474884987,127.32908379286528
13,316.2561911046505,190.1946141421795,126.06157764047384
14,314.8738012313843,190.30141834914684,124.57238357514143
15,314.91891384124756,188.99789303541183,125.92102076858282
16,303.4749246239662,186.13549995422363,117.33942471444607
17,304.0907451212406,186.00018437206745,118.09056072309613
18,305.47433641552925,186.6923742890358,118.78196209669113
19,299.36880177259445,184.09927444159985,115.26952727884054
20,296.3806077837944,183.99440383911133,112.38620423525572
21,297.21771597862244,183.3467584401369,113.87095743790269
22,299.7951422929764,185.43966580927372,114.35547624528408
23,296.05450707674026,183.16962134838104,112.88488571345806
24,299.66467839479446,183.7276351004839,115.93704284727573
